,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12 bulbs ,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE,PN,Relative Light intensity ,,,SAMPLE BEFORE RAYONET,,,,,,PN,,,,,,,SAMPLE AFTER RAYONET,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
kobs(m-1),kobs (m-1),λ,Irradiation ,I corrected,λ,"Abs, t=0","Abs, t=0 corrected",S,I*Ab*S,Rabs,λ,Abs ( Ref. Sensitizer),S,I*Abs(ref)*S,Rabs(ref),φ1O2 (t=0),,λ,"Abs, t=300min","Abs, t=300min corrected",S,I300*Abs*S,Rabs,φ1O2 (t=end),[1O2]ss,
7.00e-04,0.1402,800,18.5316666666667,18.5316666666667,800,-0.1404938698,0.0000,1.18,0.00,491,800,0.00113214762,1.00,0.02,22293,2.27e-01,,800,-0.08946685493,0,1.11,0.00,323,3.45e-01,1.17e-13,
,,799,-7.60666666666667,0,799,-0.1400970668,0.0000,1.18,0.00,,799,0.001184966299,1.00,0.00,,,,799,-0.08939471841,0,1.11,0.00,,,,
,,798,11.2233333333333,11.2233333333333,798,-0.1402758658,0.0000,1.18,0.00,,798,0.001045315759,1.00,0.01,,,,798,-0.08936484158,0,1.11,0.00,,,,
kobs(s-1),kobs(s-1),797,-2.134,0,797,-0.1404832006,0.0000,1.18,0.00,,797,0.001120261033,1.00,0.00,,,,797,-0.08931923658,0,1.11,0.00,,,,
1.17e-05,0.00233666666666667,796,4.68166666666667,4.68166666666667,796,-0.1401920021,0.0000,1.18,0.00,,796,0.001123219728,1.00,0.01,,,,796,-0.08922211826,0,1.11,0.00,,,,
,,795,14.9916666666667,14.9916666666667,795,-0.1405760199,0.0000,1.18,0.00,,795,0.001081722789,1.00,0.02,,,,795,-0.08928067237,0,1.11,0.00,,,,
,,794,12.1666666666667,12.1666666666667,794,-0.1403030008,0.0000,1.18,0.00,,794,0.001224084757,1.00,0.01,,,,794,-0.08910343051,0,1.11,0.00,,,,
,,793,18.022,18.022,793,-0.1405524909,0.0000,1.18,0.00,,793,0.001231171656,1.00,0.02,,,,793,-0.08926186711,0,1.11,0.00,,,,
,,792,-7.20666666666667,0,792,-0.1400861293,0.0000,1.18,0.00,,792,0.000842421141,1.00,0.00,,,,792,-0.08928370476,0,1.11,0.00,,,,
,,791,-4.61,0,791,-0.1403414905,0.0000,1.18,0.00,,791,0.001055798959,1.00,0.00,,,,791,-0.0891840905,0,1.11,0.00,,,,
,,790,3.35,3.35,790,-0.1400070637,0.0000,1.18,0.00,,790,0.001441857778,1.00,0.00,,,,790,-0.08928105235,0,1.11,0.00,,,,
,,789,0.931666666666667,0.931666666666667,789,-0.1400071084,0.0000,1.18,0.00,,789,0.001168743591,1.00,0.00,,,,789,-0.0891577825,0,1.11,0.00,,,,
,,788,4,4,788,-0.1399071068,0.0000,1.18,0.00,,788,0.001041631098,1.00,0.00,,,,788,-0.0891141817,0,1.11,0.00,,,,
,,787,2.805,2.805,787,-0.1390823871,0.0000,1.18,0.00,,787,0.001012855559,1.00,0.00,,,,787,-0.08923657984,0,1.11,0.00,,,,
,,786,-2.68833333333333,0,786,-0.1388618201,0.0000,1.18,0.00,,786,0.001194310724,1.00,0.00,,,,786,-0.0894344151,0,1.11,0.00,,,,
,,785,-7.93166666666667,0,785,-0.1388457566,0.0000,1.18,0.00,,785,0.001253834809,1.00,0.00,,,,785,-0.08934941143,0,1.11,0.00,,,,
,,784,11.958,11.958,784,-0.1389199495,0.0000,1.18,0.00,,784,0.00131889747,1.00,0.02,,,,784,-0.0890160501,0,1.11,0.00,,,,
,,783,11.6966666666667,11.6966666666667,783,-0.1388745308,0.0000,1.18,0.00,,783,0.001424482791,1.00,0.02,,,,783,-0.08932615072,0,1.11,0.00,,,,
,,782,-6.70833333333333,0,782,-0.1387646347,0.0000,1.18,0.00,,782,0.001256197225,1.00,0.00,,,,782,-0.08915259689,0,1.11,0.00,,,,
,,781,2.635,2.635,781,-0.1389093399,0.0000,1.18,0.00,,781,0.001022014767,1.00,0.00,,,,781,-0.08919303119,0,1.11,0.00,,,,
,,780,-12.124,0,780,-0.1389288604,0.0000,1.18,0.00,,780,0.001213701325,1.00,0.00,,,,780,-0.08910203725,0,1.11,0.00,,,,
,,779,1.52166666666667,1.52166666666667,779,-0.1390033364,0.0000,1.18,0.00,,779,0.001017474104,1.00,0.00,,,,779,-0.08917026222,0,1.11,0.00,,,,
,,778,1.55333333333333,1.55333333333333,778,-0.1388855428,0.0000,1.18,0.00,,778,0.001229172805,1.00,0.00,,,,778,-0.08909802884,0,1.11,0.00,,,,
,,777,-5.962,0,777,-0.1388980597,0.0000,1.18,0.00,,777,0.001101886854,1.00,0.00,,,,777,-0.08908862621,0,1.11,0.00,,,,
,,776,7.32666666666667,7.32666666666667,776,-0.139110297,0.0000,1.18,0.00,,776,0.001468038419,1.00,0.01,,,,776,-0.08906289935,0,1.11,0.00,,,,
,,775,2.65166666666667,2.65166666666667,775,-0.1390538961,0.0000,1.18,0.00,,775,0.001425417722,1.00,0.00,,,,775,-0.08900929987,0,1.11,0.00,,,,
,,774,-3.32833333333333,0,774,-0.1391137689,0.0000,1.18,0.00,,774,0.001110970043,1.00,0.00,,,,774,-0.08892923594,0,1.11,0.00,,,,
,,773,18.284,18.284,773,-0.1392724812,0.0000,1.18,0.00,,773,0.000824292074,1.00,0.02,,,,773,-0.08888207376,0,1.11,0.00,,,,
