Wavelength (nm),Iλm (J*m-2*s-1*nm-1) reactor, Direct (J*m-2*s-1*nm-1) ,Diffuse (J*m-2*s-1*nm-1) ,TUV Irr (J*m-2*s-1*nm-1) ,εPNA (M-1*cm-1),
400,1.47832,0.007311,0.004256,0.0116,7.40E+01,
399,1.813,0.007230,0.004267,0.0115,8.50E+01,
398,2.27718,0.015220,0.009156,0.0244,9.70E+01,
397,2.75346,0.019700,0.011970,0.0317,1.11E+02,
396,3.34882,0.035160,0.021710,0.0569,1.26E+02,
395,3.87264,0.039480,0.024490,0.0640,1.43E+02,
394,4.85246,0.054230,0.034210,0.0884,1.62E+02,
393,5.801725,0.057640,0.036330,0.0940,1.82E+02,
392,6.74498,0.085870,0.054970,0.1408,2.05E+02,
391,8.25254,0.097410,0.062160,0.1596,2.29E+02,
390,10.05934,0.087700,0.056420,0.1441,2.56E+02,
389,11.98944,0.121200,0.078180,0.1994,2.85E+02,
388,14.1235,0.157700,0.101400,0.2591,3.17E+02,
387,16.4536,0.156400,0.101400,0.2578,3.52E+02,
386,19.09836,0.178400,0.114500,0.2929,3.89E+02,
385,22.4061,0.180700,0.116900,0.2976,4.29E+02,
384,26.09924,0.187400,0.119800,0.3072,4.72E+02,
383,30.42858,0.188500,0.121000,0.3095,5.19E+02,
382,34.93998,0.267200,0.168900,0.4361,5.71E+02,
381,40.40456,0.212000,0.134600,0.3466,6.26E+02,
380,45.5681,0.259600,0.162900,0.4225,6.85E+02,
379,51.2877,0.317100,0.196800,0.5139,7.49E+02,
378,58.30746,0.271000,0.169100,0.4401,8.18E+02,
377,65.7733,0.272800,0.164800,0.4376,8.91E+02,
376,73.72422,0.283000,0.172800,0.4558,9.68E+02,
375,81.75478,0.332900,0.199900,0.5328,1.05E+03,
374,89.293575,0.374000,0.220400,0.5944,1.14E+03,
373,96.61692,0.454500,0.268800,0.7233,1.23E+03,
372,104.26312,0.424200,0.245500,0.6697,1.33E+03,
371,110.83324,0.392800,0.224000,0.6168,1.44E+03,
370,116.48052,0.510500,0.290900,0.8014,1.55E+03,
369,119.64996,0.465300,0.259700,0.7250,1.66E+03,
368,120.550775,0.461000,0.253200,0.7142,1.79E+03,
367,120.65144,0.454900,0.248800,0.7037,1.91E+03,
366,121.81228,0.428600,0.230000,0.6586,2.05E+03,
365,125.65836,0.480000,0.254400,0.7344,2.19E+03,
364,112.2175,0.487500,0.256000,0.7435,2.33E+03,
363,94.377675,0.382000,0.197500,0.5795,2.48E+03,
362,86.31364,0.420400,0.213500,0.6339,2.64E+03,
361,71.73364,0.444500,0.223800,0.6683,2.81E+03,
