FLMT06513_1:101,
180,-316.69
180,-316.69
180,-316.69
181,-326.95
181,-310.38
181,111.81
181,43
182,-52.29
182,-43.48
182,0.82
182,49.36
182,25.28
183,6.02
183,-47.57
183,-28.02
183,-14.78
184,-50.17
184,99.58
184,42.57
184,114.56
184,-53.25
185,18.93
185,54.7
185,36.07
185,-19.79
185,-1.87
186,115.81
186,52.2
186,89.57
186,-11.12
187,55.76
187,91.54
187,-24.07
187,40.98
187,39.54
188,17.82
188,9.54
188,-92.59
188,70.64
189,-4.76
189,95.35
189,27.35
189,61.4
189,-23.01
190,92.26
190,29.28
190,81.62
190,108.54
190,80.85
191,119.61
191,34.38
191,9.68
191,75.17
192,29.86
192,74.45
192,-73.48
192,109.55
192,83.45
193,70.59
193,87.69
193,31.01
193,-25.23
193,87.93
194,-17.72
194,57.74
194,39.63
194,95.2
195,50.76
195,61.83
195,27.21
195,46.71
195,5.4
196,14.4
196,12.57
196,106.71
196,-114.07
197,6.07
197,103.05
197,103.43
197,-35.53
197,-57.83
198,87.59
198,85.33
198,-15.84
198,-2.98
198,24.51
199,20.52
199,249.82
199,71.08
199,-7.7
200,90.34
200,-22.77
200,-28.07
200,13.92
200,-17.67
201,82.44
201,35.11
201,-22.77
201,70.21
201,-14.1
202,2.41
202,19.41
202,-15.12
202,-4.23
203,103.68
203,74.01
203,61.93
203,16.28
203,38.43
204,155.87
204,14.93
204,21.53
204,30.39
205,-8.47
205,-0.67
205,-36.01
205,10.74
205,10.4
206,-3.13
206,14.79
206,133.53
206,6.6
206,42.47
207,-15.98
207,-37.75
207,22.3
207,19.41
208,23.79
208,-26.91
208,37.18
208,31.11
208,44.69
209,1.4
209,65.3
209,158.38
209,-3.7
209,27.93
210,18.21
210,85.62
210,-8.81
210,20.32
211,147.59
211,-5.87
211,41.08
211,24.18
211,27.55
212,9.35
212,63.56
212,68.86
212,-13.72
213,14.98
213,43.73
213,57.06
213,39.68
213,107
214,96.74
214,107.77
214,13.53
214,-19.5
214,79.07
215,48.06
215,16.38
215,2.46
215,-13.67
216,76.18
216,62.7
216,9.06
216,13.73
216,-23.3
217,20.47
217,-24.89
217,54.7
217,39.1
217,31.45
218,84.22
218,190.4
218,115.52
218,3.81
219,38.67
219,81.09
219,17.19
219,134.4
219,35.16
220,68.86
220,27.07
220,-36.35
220,68.24
220,21.58
221,-2.07
221,121.73
221,39.15
221,158.91
222,95.87
222,176.67
222,28.9
222,39.83
222,103.34
223,1.11
223,84.03
223,71.61
223,135.6
223,-31.2
224,23.17
224,98.86
224,158.47
224,77.43
225,90.14
225,31.5
225,-29.85
225,-23.83
225,22.97
226,13.97
226,9.15
226,26.68
226,79.84
227,40.21
227,64.86
227,16.71
227,98.23
227,63.08
228,98.19
