sample1,,sample2,,sample1redo,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,0.0004363459302,800,-0.0006317274529,800,0.003489013296,
799,0.0005641108146,799,-0.000511722872,799,0.003758107778,
798,0.0005816328339,798,-0.0006401539431,798,0.003487056354,
797,0.0003913650289,797,-0.0006223185337,797,0.003707586089,
796,0.000408620981,796,-0.0005108437617,796,0.003697430016,
795,0.0004469699634,795,-0.0006769596948,795,0.003616609378,
794,0.0004353612603,794,-0.0005890238681,794,0.003623944242,
793,0.0004864366783,793,-0.0005561920116,793,0.003664510092,
792,0.0005441791145,792,-0.0005725824158,792,0.003837544471,
791,0.000442461198,791,-0.0005482809502,791,0.003598808078,
790,0.0006588832475,790,-0.0004587676085,790,0.003860291792,
789,0.0005746861571,789,-0.0005101198331,789,0.003745757509,
788,0.0005399025977,788,-0.0005264602369,788,0.003849401139,
787,0.0006947912625,787,-0.000466007943,787,0.003918353934,
786,0.00050273753,786,-0.0004688006302,786,0.003803856438,
785,0.0004685557215,785,-0.0005352506996,785,0.003769753268,
784,0.0004560135712,784,-0.000628418813,784,0.003800069913,
783,0.0003980237816,783,-0.0004941924708,783,0.003822371596,
782,0.000614786637,782,-0.0003813399235,782,0.003970781341,
781,0.0004295052204,781,-0.0004689557827,781,0.003991941921,
780,0.0005122228758,780,-0.0003578037431,780,0.003911118489,
779,0.000549544231,779,-0.0004228743201,779,0.004014017992,
778,0.0004572055768,778,-0.0005004497361,778,0.003868675558,
777,0.0005380883231,777,-0.0004079265345,777,0.003980525304,
776,0.0005425203126,776,-0.0005204101908,776,0.004047173541,
775,0.0004656274687,775,-0.0005114643136,775,0.003796884092,
774,0.0004255666572,774,-0.0004252535,774,0.004006545991,
773,0.0005232375115,773,-0.0003585796803,773,0.004035677295,
772,0.0006109241513,772,-0.0003240749356,772,0.004093031399,
771,0.0004525153199,771,-0.0005278046592,771,0.003990269732,
770,0.000498772366,770,-0.0003616316826,770,0.004018877633,
769,0.0005771226715,769,-0.0003348353202,769,0.004151359666,
768,0.0004682965809,768,-0.0004266499891,768,0.004075157922,
767,0.0004595377832,767,-0.0004468724655,767,0.004097342957,
766,0.0004880434135,766,-0.0004581469984,766,0.004086289555,
765,0.0005383215612,765,-0.0003291964822,765,0.004126428161,
764,0.0004690999049,764,-0.0004871594429,764,0.004114485346,
763,0.0004611444019,763,-0.0004921756918,763,0.004039884079,
762,0.0004163682461,762,-0.0004727827618,762,0.004151908681,
761,0.0005287319655,761,-0.0003626662656,761,0.00422252994,
760,0.0004915678874,760,-0.0003866677289,760,0.004232227802,
759,0.0004847263044,759,-0.0005175144761,759,0.004102386534,
758,0.0003917277791,758,-0.0004334771074,758,0.004197960254,
757,0.0005458897213,757,-0.0003516996221,757,0.004184499849,
756,0.0005442827824,756,-0.0003305415448,756,0.004306208808,
755,0.0003887482162,755,-0.0003522686602,755,0.004341085907,
754,0.0005233930424,754,-0.0002631805255,754,0.004294365644,
753,0.0004352317192,753,-0.0003783915017,753,0.004340458661,
752,0.0004851668491,752,-0.000370115129,752,0.004333059303,
751,0.0004304121248,751,-0.0003626145481,751,0.004254237749,
750,0.0005059511168,750,-0.0002598691208,750,0.004368540365,
749,0.0005185983609,749,-0.0002465197467,749,0.004399892408,
748,0.0005227710353,748,-0.0003465265909,748,0.004299568478,
747,0.0004501572403,747,-0.0004029610718,747,0.004392309114,
746,0.0004757080169,746,-0.000302605069,746,0.004397120792,
745,0.0004730647779,745,-0.0002921025443,745,0.004500449169,
744,0.0005009234301,744,-0.0002525736054,744,0.004480283707,
743,0.0005851321621,743,-0.0002466749866,743,0.004527887329,
742,0.000613983022,742,-0.0002010874159,742,0.004541410599,
741,0.0005717572058,741,-0.0002433117043,741,0.004566366319,
740,0.0004929154529,740,-0.0002294961159,740,0.004518052097,
739,0.0005109529593,739,-0.0002212686522,739,0.00454434054,
738,0.0004826012882,738,-0.000258834305,738,0.004620363005,
737,0.0005413021427,737,-0.0002587825584,737,0.004482323769,
736,0.0005365591496,736,-0.0001780072052,736,0.004601604771,
735,0.0005423388793,735,-0.0002522631548,735,0.004666647408,
734,0.0005734938313,734,-0.000234877516,734,0.004629886243,
733,0.0003729957389,733,-0.0002849627635,733,0.004518967588,
732,0.0005249221576,732,-0.0003372149949,732,0.004632581491,
731,0.0004796211142,731,-0.0003294034104,731,0.004599145614,
730,0.0005042924895,730,-0.0003071060637,730,0.004566052463,
729,0.0003984383366,729,-0.0003122795606,729,0.004576123785,
728,0.0004505459219,728,-0.0003531998082,728,0.004609898198,
727,0.0004310858203,727,-0.0003613213194,727,0.004614450503,
726,0.0004118079669,726,-0.0003581141063,726,0.004635145422,
725,0.0004133366747,725,-0.0004064265522,725,0.004614319652,
724,0.0004432126589,724,-0.0003952023981,724,0.004664266482,
